-47,-55,-71,-65,-72,-77,-76,-79,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-52,-57,-79,-68,100,-79,-73,-78,-87,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-51,-56,-80,-67,-72,100,-71,-76,-86,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-51,-54,-84,-67,-70,100,-74,-79,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-46,-51,-84,100,-72,100,-69,-76,-88,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-54,-50,-76,-60,-76,-77,-75,-77,-89,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-45,-55,-80,-65,-73,-78,-71,-78,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-51,-55,-76,-62,-74,-79,-78,-83,-89,-90,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-52,-56,-79,-67,-71,-83,-69,-79,-92,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-52,-58,100,-69,-70,100,-76,-79,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-48,-55,-74,-63,-69,-77,-70,-77,-84,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-49,-53,-71,-63,-71,-79,-69,-79,-91,-91,100,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-50,-54,-73,-65,-71,-78,-70,-74,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-46,-50,-74,-68,-70,-75,-67,-79,-85,-88,-88,-90,100,100,100,100,100,100,-91,100,100,100,100,100,100,100,100,100
-47,-56,-73,-64,-72,-79,-68,-79,-89,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-47,-52,-70,-72,-72,100,-66,-78,-88,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-49,-58,-75,-64,-67,-79,-66,-79,-89,-91,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-48,-49,-71,-72,-73,100,-67,-80,-86,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-49,-50,-72,-68,-70,-77,-68,-77,-84,-87,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-52,-51,100,-62,100,-78,-62,-80,-91,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-51,-59,-77,-68,-73,-81,-63,-81,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-47,-47,-77,-64,-71,-84,-73,-82,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
-45,-49,-78,-63,-71,-82,-63,-81,100,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
